constant,value,code_location,basis,sensitivity_required
EHS_P_BASE,90,src/config/constants.py::EHS_P_BASE,Expert,yes
EHS_P_FLOOR,10,src/config/constants.py::EHS_P_FLOOR,Expert,yes
EHS_W_NDVI,0.5,src/config/constants.py::EHS_W_NDVI,Expert,yes
EHS_W_NDMI,0.5,src/config/constants.py::EHS_W_NDMI,Expert,yes
EHS_DENSE_CANOPY_NDVI_THRESHOLD,0.8,src/config/constants.py::EHS_DENSE_CANOPY_NDVI_THRESHOLD,Saturation literature (qualitative),yes
EHS_W_NDVI_DENSE,0.2,src/config/constants.py::EHS_W_NDVI_DENSE,Expert,yes
EHS_W_NDMI_DENSE,0.8,src/config/constants.py::EHS_W_NDMI_DENSE,Expert,yes
UPSLOPE_M,15,etl_raster_intersection.py::UPSLOPE_M,"Wemple et al. (2001), qualitative",yes
DOWNSLOPE_M,60,etl_raster_intersection.py::DOWNSLOPE_M,"Wemple et al. (2001), qualitative",yes
BUFFER_M (symmetric fallback),50,etl_raster_intersection.py::BUFFER_M,Convention,no
CORE_OUTER_M,50,src/spatial_causality/analyzer.py::CORE_OUTER_M,Marion & Leung (2001) — cited,no
NEAR_OUTER_M,200,src/spatial_causality/analyzer.py::NEAR_OUTER_M,Expert,yes
SCM _SIG_LOCALIZED,0.15,src/spatial_causality/analyzer.py::_SIG_LOCALIZED,Uncited heuristic,yes
SCM _SIG_LANDSCAPE,0.07,src/spatial_causality/analyzer.py::_SIG_LANDSCAPE,Uncited heuristic,yes
SCM _CORR_LANDSCAPE,0.85,src/spatial_causality/analyzer.py::_CORR_LANDSCAPE,Uncited heuristic,yes
SCM _CORR_LOCALIZED,0.7,src/spatial_causality/analyzer.py::_CORR_LOCALIZED,Uncited heuristic,yes
FIELD_DEGRADED_THRESHOLD,50.0,src/validation/confusion.py::FIELD_DEGRADED_THRESHOLD,Uncited round number — must be calibrated out-of-sample,yes
SOIL_COMPACTION_MAX_MPA,3.0,src/validation/field.py::SOIL_COMPACTION_MAX_MPA,"Root-restriction range, qualitative (censoring)",yes
